City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
352,Vila,PT,42.0304,-8.1588,45.7,92,100,6.06,overcast clouds
353,Poltavka,RU,54.3663,71.7632,23.9,94,100,6.26,light snow
354,Laguna,US,38.421,-121.4238,68.31,34,0,13.8,clear sky
355,Ardesen,TR,41.1911,40.9875,56.57,66,3,3.13,clear sky
356,Bereda,ES,43.2686,-7.5406,53.42,100,99,7.99,overcast clouds
357,Saint George,US,37.1041,-113.5841,52.43,27,0,10.0,clear sky
358,Laguna De Perlas,NI,12.3429,-83.6712,80.69,88,100,10.83,overcast clouds
359,Tvoroyri,FO,61.5556,-6.8111,49.3,89,98,35.52,light rain
360,Thinadhoo,MV,0.5333,72.9333,81.32,74,98,14.85,overcast clouds
361,Barreirinha,BR,-2.7933,-57.07,88.95,48,96,4.43,overcast clouds
362,Biak,ID,-0.9131,122.8766,77.41,80,100,2.71,overcast clouds
363,Ajaccio,FR,42.0,8.9167,55.38,94,100,6.91,overcast clouds
364,Chiredzi,ZW,-21.05,31.6667,69.35,58,0,3.29,clear sky
365,Akola,IN,20.7333,77.0,66.0,48,0,2.95,clear sky
366,Cockburn Town,TC,21.4612,-71.1419,84.16,70,40,11.5,scattered clouds
367,Mancio Lima,BR,-7.6142,-72.8958,89.19,54,97,0.2,moderate rain
368,Meulaboh,ID,4.1363,96.1285,75.31,90,100,4.85,overcast clouds
369,Atbasar,KZ,51.8,68.3333,24.66,94,99,16.08,light snow
370,Milkovo,RU,54.7167,158.6167,21.31,84,100,8.34,overcast clouds
371,Baherden,TM,38.4362,57.4316,50.29,59,53,2.66,broken clouds
372,Orange Cove,US,36.6244,-119.3137,66.29,39,0,3.44,clear sky
373,Krasnoselkup,RU,65.7,82.4667,-16.71,85,3,10.11,clear sky
374,Teeli,RU,51.0333,90.2333,11.25,84,35,2.86,scattered clouds
375,Victoria,HK,22.2855,114.1577,75.38,85,30,7.0,scattered clouds
376,Mayo,US,38.8876,-76.5119,46.94,85,100,6.91,overcast clouds
377,Saint-Leu,RE,-21.15,55.2833,68.83,61,52,3.06,broken clouds
378,Zhezkazgan,KZ,47.8043,67.7144,24.3,56,91,21.74,overcast clouds
379,Maragogi,BR,-9.0122,-35.2225,77.59,82,19,8.5,few clouds
380,Takoradi,GH,4.8845,-1.7554,79.36,81,11,8.41,few clouds
381,Burgersdorp,ZA,-30.9977,26.3286,61.3,81,82,14.45,light rain
382,Saskatoon,CA,52.1168,-106.6345,22.98,92,100,12.66,overcast clouds
383,Clyde River,CA,70.4692,-68.5914,-3.77,71,20,12.66,few clouds
384,Gizo,SB,-8.103,156.8419,83.16,72,96,7.67,overcast clouds
385,Sechura,PE,-5.5569,-80.8222,72.61,61,100,13.85,overcast clouds
386,Khilchipur,IN,24.0333,76.5667,66.15,40,0,5.14,clear sky
387,Saint-Joseph,RE,-21.3667,55.6167,66.58,72,18,9.31,few clouds
388,Gushikawa,JP,26.3544,127.8686,70.83,77,100,5.75,overcast clouds
389,Antsohihy,MG,-14.8796,47.9875,71.92,87,100,2.24,light rain
390,Waipawa,NZ,-41.4122,175.5153,65.7,52,0,5.95,clear sky
